"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Archon of the Wild Rose","W","R","2857","1.84","1587","1.83","9273","83.4%","60.9%","1507","63.4%","2288","63.5%","3795","63.4%","5503","59.1%","4.3pp"
"Archon's Glory","W","C","70263","6.46","11691","8.90","47587","57.0%","61.5%","6905","61.2%","11034","62.5%","17939","62.0%","29618","61.2%","0.8pp"
"Armory Mice","W","C","72644","6.90","10519","9.57","37470","50.1%","61.0%","6246","61.8%","7782","58.0%","14028","59.7%","23449","61.8%","-2.2pp"
"Besotted Knight","W","C","66423","5.90","8035","8.77","31685","55.3%","59.9%","4928","60.3%","7452","60.2%","12380","60.3%","19303","59.7%","0.5pp"
"Break the Spell","W","C","74803","7.87","7437","11.79","3884","7.3%","58.1%","555","58.6%","937","56.8%","1492","57.4%","2392","58.5%","-1.0pp"
"Charmed Clothier","W","C","70338","6.67","7890","10.09","21489","38.1%","59.0%","3016","58.8%","5207","60.0%","8223","59.6%","13280","58.7%","0.8pp"
"Cheeky House-Mouse","W","U","24411","5.12","4040","6.99","17848","62.5%","61.1%","3041","62.1%","3776","59.3%","6817","60.6%","11036","61.5%","-0.9pp"
"Cooped Up","W","C","46211","3.81","10360","5.02","61350","83.6%","61.7%","9991","61.0%","15334","63.6%","25325","62.5%","35787","60.9%","1.6pp"
"Cursed Courtier","W","U","21090","4.25","3851","5.82","19739","71.8%","61.2%","3157","61.5%","4625","61.6%","7782","61.6%","11978","61.0%","0.6pp"
"Discerning Financier","W","U","24656","5.38","2870","8.23","8230","40.4%","57.9%","1345","59.3%","1930","56.0%","3275","57.3%","4942","58.2%","-0.9pp"
"Dutiful Griffin","W","U","26822","5.97","2894","9.16","6958","33.8%","57.7%","983","55.3%","1744","56.7%","2727","56.2%","4238","58.5%","-2.4pp"
"Eerie Interference","W","U","30392","7.68","2808","11.95","569","2.9%","56.1%","72","","146","","218","","352","",""
"Expel the Interlopers","W","R","3318","2.17","1595","2.20","8444","74.2%","61.9%","1356","62.5%","2222","65.8%","3578","64.5%","4876","59.9%","4.6pp"
"Frostbridge Guard","W","C","70515","6.84","7496","10.20","20225","37.9%","58.7%","3326","59.7%","4788","57.4%","8114","58.4%","12105","58.9%","-0.6pp"
"Gallant Pie-Wielder","W","U","23793","5.00","3622","6.99","16081","62.6%","59.4%","2592","61.9%","3514","57.4%","6106","59.3%","9991","59.4%","-0.1pp"
"Glass Casket","W","U","20024","4.07","3847","5.44","20136","74.6%","60.8%","3381","60.7%","4906","61.8%","8287","61.3%","11825","60.3%","1.0pp"
"Hopeful Vigil","W","C","47775","3.96","12804","4.93","76179","84.0%","62.5%","13081","66.1%","17923","62.3%","31004","63.9%","45138","61.5%","2.4pp"
"Kellan's Lightblades","W","C","60513","5.15","9326","7.36","44995","68.7%","59.8%","7275","59.0%","11494","61.2%","18769","60.4%","26208","59.5%","0.9pp"
"Knight of Doves","W","U","25617","5.76","2694","8.68","7024","36.7%","56.4%","1120","56.1%","1679","55.9%","2799","55.9%","4220","56.8%","-0.8pp"
"Moment of Valor","W","C","72486","6.86","7894","10.45","13036","23.2%","57.9%","1942","55.1%","3163","59.7%","5105","57.9%","7927","57.8%","0.1pp"
"Moonshaker Cavalry","W","M","2146","2.69","567","3.12","1924","47.8%","55.4%","250","","519","62.2%","769","59.0%","1147","52.7%","6.4pp"
